last update: Fri Apr 29 2016 23:06:22 GMT+0800 (HKT)

order	team	score	std
0	[1519]	870	100
1	[195]	810	91
2	[973]	810	91
3	[1241]	800	90
4	[3130]	785	88
5	[2834]	750	83
6	[254]	741	81
7	[3620]	716	78
8	[4001]	715	78
9	[118]	714	78
10	[230]	711	77
11	[2451]	705	76
12	[27]	704	76
13	[1024]	700	76
14	[166]	694	75
15	[133]	691	74
16	[16]	688	74
17	[67]	685	73
18	[148]	680	73
19	[225]	678	72
20	[45]	675	72
21	[2823]	675	72
22	[971]	675	72
23	[2614]	667	71
24	[4564]	665	71
25	[5172]	665	71
26	[987]	665	71
27	[5895]	660	70
28	[3166]	655	69
29	[4003]	650	68
30	[2056]	650	68
31	[610]	647	68
32	[3357]	647	68
33	[5907]	645	68
34	[2883]	645	68
35	[708]	644	68
36	[3314]	643	67
37	[1391]	640	67
38	[1806]	640	67
39	[2122]	638	67
40	[1918]	638	67
41	[4060]	635	66
42	[333]	635	66
43	[876]	634	66
44	[868]	634	66
45	[3641]	633	66
46	[294]	631	66
47	[2035]	630	66
48	[2767]	629	65
49	[1310]	625	65
50	[1323]	623	65
51	[3538]	623	65
52	[122]	622	64
53	[1678]	620	64
54	[1425]	620	64
55	[1011]	619	64
56	[4678]	619	64
57	[2471]	618	64
58	[172]	617	64
59	[2586]	617	64
60	[1736]	617	64
61	[5813]	617	64
62	[330]	616	64
63	[2137]	615	63
64	[1885]	614	63
65	[558]	610	63
66	[3476]	609	63
67	[2052]	605	62
68	[41]	605	62
69	[2996]	605	62
70	[5437]	605	62
71	[1640]	605	62
72	[4587]	604	62
73	[359]	602	61
74	[6167]	601	61
75	[1538]	600	61
76	[5546]	600	61
77	[4967]	600	61
78	[70]	599	61
79	[5150]	599	61
80	[4561]	599	61
81	[125]	599	61
82	[3419]	598	61
83	[548]	598	61
84	[842]	597	61
85	[910]	597	61
86	[2393]	595	60
87	[5891]	595	60
88	[2485]	594	60
89	[2637]	593	60
90	[3600]	593	60
91	[639]	592	60
92	[379]	592	60
93	[48]	592	60
94	[3970]	592	60
95	[5663]	592	60
96	[2557]	591	60
97	[1747]	591	60
98	[2046]	591	60
99	[1023]	589	60
100	[1690]	589	60
101	[5406]	588	59
102	[4451]	587	59
103	[20]	586	59
104	[3245]	586	59
105	[5114]	586	59
106	[1718]	585	59
107	[1501]	585	59
108	[4103]	584	59
109	[2403]	584	59
110	[3663]	583	59
111	[4242]	583	59
112	[5817]	582	59
113	[2054]	582	59
114	[1676]	581	58
115	[834]	581	58
116	[5803]	580	58
117	[233]	580	58
118	[1305]	580	58
119	[25]	579	58
120	[3937]	579	58
121	[5460]	579	58
122	[3309]	578	58
123	[2147]	578	58
124	[1114]	578	58
125	[2439]	577	58
126	[2481]	576	58
127	[1731]	576	58
128	[3990]	576	58
129	[1481]	575	58
130	[2522]	575	58
131	[2590]	575	58
132	[2771]	575	58
133	[175]	575	58
134	[229]	574	57
135	[4039]	574	57
136	[1477]	573	57
137	[3238]	572	57
